GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "00000","United States", ,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",1,"...","All industry total",11521938.0,12038283.0,12610491.0,13130987.0,13262079.0,13493064.0,13879129.0,14406382.0,14912509.0,15338257.0,15626029.0,15604687.0,15208834.0,15598753.0,15840664.0,16197007.0,16495369.0,16899831.0,17386700.0,17659187.0,18050693.0,18566442.0
 "00000","United States", ,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",2,"..."," Private industries",9884799.8,10358425.6,10895080.0,11384006.8,11465143.6,11669108.8,12005868.9,12499287.7,12980914.9,13402321.3,13625237.1,13540590.8,13128308.9,13467315.0,13697389.9,14037519.0,14302266.6,14681841.1,15140166.0,15387507.0,15718231.0,16188909.0
 "00000","United States", ,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",3,"11","  Agriculture, forestry, fishing and hunting",140286.0,136879.5,141020.5,161798.9,156154.9,161617.5,174162.5,188091.9,196126.0,199349.4,176568.7,180294.9,199976.1,193856.2,186395.0,179573.0,209387.5,210511.6,224592.0,234231.0,222985.0,213809.0
 "00000","United States", ,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",4,"111-112","   Farms",118101.2,113962.2,116824.8,138243.7,128096.5,133545.0,145088.0,159782.0,168782.0,165516.0,144582.0,148473.0,170705.0,165055.0,157496.0,148939.0,179819.0,180346.0,193083.0,203271.0,190153.0,(NA)
 "00000","United States", ,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",5,"113-115","   Forestry, fishing, and related activities",22608.5,23072.6,24197.8,25057.1,27868.7,28111.6,29401.0,29091.6,28570.5,33296.1,30952.0,30863.4,29688.9,29068.0,28936.3,30634.0,29604.1,30145.4,31675.0,31857.0,32317.0,(NA)
 "00000","United States", ,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",263964.1,274624.0,266346.5,236200.3,273325.1,280554.9,248435.3,249877.7,254061.3,293062.6,315652.5,305545.2,350402.1,309258.8,320758.2,358798.0,372927.5,409998.5,444328.0,423113.0,429313.0,435861.0
 "00000","United States", ,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",7,"211","   Oil and gas extraction",203348.3,204308.2,186104.8,137941.2,161342.7,185236.6,149431.6,148294.9,146448.8,166487.1,179825.9,170606.7,230468.8,181654.1,181848.7,223767.0,236351.7,265609.2,354084.0,378354.0,363096.0,(NA)
 "00000","United States", ,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",8,"212","   Mining (except oil and gas)",76998.4,89572.2,95096.0,93727.1,90724.6,83140.7,84576.3,81699.1,82439.6,84180.4,85895.3,78891.9,74008.6,75347.6,75093.6,66648.0,68356.2,66730.6,63743.0,62585.0,66485.0,(NA)
 "00000","United States", ,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",9,"213","   Support activities for mining",15439.5,14502.0,13987.7,18964.7,28392.6,21977.6,23830.1,27651.3,33597.3,49305.5,55979.7,62506.8,46583.2,52306.2,65355.7,68383.0,68089.6,76183.4,51643.0,32273.0,38634.0,(NA)
 "00000","United States", ,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",10,"22","  Utilities",231226.6,220904.7,257343.2,260757.8,215356.4,222898.6,217932.0,231209.9,219184.9,232840.2,237521.6,250217.7,237222.4,265788.7,275959.6,279651.0,276619.6,264977.7,263448.0,276664.0,273823.0,279665.0
