GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",1,"...","All industry total",4713220000,5075701000,5409932000,5854629000,6046343000,6143368000,6362296000,6729301000,7077721000,7491255000,7889369000,8068679000,7767191000,7932969000,8234013000,8575371000,8843638000,9258633000,9707911000,9968922000,10420585000
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",2,"..."," Private industries",3823490815,4146920542,4429108376,4811254215,4934296076,4957993662,5106612972,5406295095,5694360020,6047084126,6369771666,6475495372,6126325687,6241287161,6531992394,6871567316,7095280526,7467049747,7859365000,8079912000,8478269000
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",26612033,27847300,29474202,30200801,31308599,31636101,31645400,34942900,34645798,37995900,41802399,42137898,42318398,41360200,41181100,48064000,48867098,50961701,50900000,53755000,55296000
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",4,"111-112","   Farms",17142000,18139000,18808000,19645000,20831000,20789000,20488000,22179000,22033000,21886000,25338000,25680000,25747000,24281000,23097000,28304000,28556000,29097000,27488000,29123000,30017000
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",9470033,9708300,10666202,10555801,10477599,10847101,11157400,12763900,12612798,16109900,16464399,16457898,16571398,17079200,18084100,19760000,20311098,21864701,23412000,24632000,25279000
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",35121127,35866000,34789205,35991903,38614296,35761001,37119202,41511700,47194697,56997603,62708594,72819895,64695692,69168097,80269298,90527000,93523492,101139700,91890000,75440000,77473000
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",7,"211","   Oil and gas extraction",12295043,12344300,12338002,13357701,14098598,13250600,13653101,15577900,17199099,20896101,22580598,27290698,25867197,27580899,30626999,34979000,36431397,39293700,38816000,34423000,29914000
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",8,"212","   Mining (except oil and gas)",13837056,14066100,13638402,13117001,13239199,12358200,12519201,13458500,14378799,15756801,16261898,17525398,16014398,16775999,18201300,18912000,18561998,18450200,18060000,16555000,17636000
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",9,"213","   Support activities for mining",8989028,9455600,8812801,9517201,11276499,10152200,10946901,12475300,15616799,20344701,23866098,28003799,22814097,24811199,31440999,36636000,38530097,43395800,35014000,24463000,29923000
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",10,"22","  Utilities",42111170,43093000,47188000,50214000,53904000,54652000,52935000,55635000,56130000,60885000,63083000,66284000,66832000,67652000,71183000,69760000,72778489,75185103,77635000,80829000,81555000
 "00000","United States *", ,SAGDP4N,"Compensation of employees","Thousands of dollars",11,"23","  Construction",228596804,253006800,278246344,307653927,325443764,327110915,335792714,357958302,387530568,421295324,439998358,433947502,368352355,343763397,347302369,365908000,387955389,422412368,458510000,486881000,517119000
